,City,Country,HotelLat,HotelLong,Hotel Name
197,batagay-alyta,RU,,,
222,qax,AZ,41.4374578,46.9781245,El Resort Hotel
598,hofn,IS,64.25741450000001,-15.2127514,Hótel Höfn
606,westport,US,41.1561285,-73.42187229999999,Hilton Garden Inn Norwalk
